,Region,Pack_Size,Commodity,Organic_new1,Low_Price,High_Price,HEB_Price_Gallon,year,month,day,Store_Demand_Rand_NORMDIST
8284,6,2,1,0,2.99,2.99,2.99,4,9,6,8.517909234107245
7342,4,5,1,0,1.66,2.5,1.95,4,3,14,8.513901740394388
6630,2,1,1,0,1.98,3.99,3.56,1,11,26,7.719848865801082
12079,2,7,2,0,3.49,3.49,3.49,2,11,11,8.66620808694346
7448,6,5,1,0,1.59,2.5,2.43,4,3,28,8.713933046770576
15515,1,4,2,1,0.92,0.92,0.92,5,7,24,8.183661974469143
2405,6,3,1,0,5.0,6.99,5.8,3,10,12,8.582963946073148
3,5,0,0,0,2.5,2.97,2.59,2,0,9,8.02800036976048
2613,1,1,1,0,3.99,3.99,3.99,3,11,24,7.929454012199446
1586,6,5,1,1,3.99,3.99,3.99,3,4,28,8.730668119616931
13474,5,8,2,1,3.69,3.99,3.82,1,3,4,8.575954731154471
843,5,1,1,0,3.99,3.99,3.99,2,11,25,7.967171418345665
13945,1,8,2,0,1.0,1.25,1.1,4,0,7,8.305814666857732
4457,5,2,1,0,4.99,4.99,4.99,3,6,16,8.245801106215072
236,6,6,1,0,1.99,3.0,2.75,2,3,17,8.550761836914207
6313,1,5,1,0,1.49,2.18,1.54,1,6,25,8.6360051552653
1008,6,1,1,0,2.99,3.79,3.75,3,1,12,8.099145378849801
13901,6,8,2,1,3.39,3.99,3.59,0,10,15,8.438282752703833
1548,3,2,1,0,5.0,5.0,5.0,3,4,21,8.421506816670332
15464,2,8,2,1,3.49,4.99,4.24,5,7,3,8.329048402176406
3028,5,5,1,0,2.0,2.5,2.24,2,5,26,8.695290196263786
2516,1,0,0,1,4.49,5.99,5.41,3,11,3,8.048001603517937
12912,2,7,2,0,2.49,2.99,2.69,3,10,12,8.491560085451939
2582,6,3,1,0,5.99,7.99,7.65,3,11,17,8.517097116339718
3012,6,5,1,1,3.69,3.69,3.69,2,5,12,8.680454437173154
7315,6,3,1,0,4.99,7.99,6.73,4,3,0,8.479246267666902
9574,3,6,1,1,3.49,3.49,3.49,5,6,20,8.564659013344976
14332,1,8,2,1,2.99,4.79,3.78,4,4,26,8.454908595571153
8082,2,0,0,0,2.99,3.99,3.01,4,7,25,8.106661545843151
9750,1,6,1,1,3.49,3.49,3.49,5,7,24,8.567554158504775
14811,5,7,2,0,1.66,2.5,1.66,4,10,10,8.690220259478743
5696,1,0,0,0,1.88,3.99,2.99,0,8,20,7.680207507485597
3354,6,5,1,1,3.99,3.99,3.99,2,9,30,8.567561446306472
3498,6,5,1,1,3.99,3.99,3.99,2,11,25,8.741686199453587
7265,3,5,1,0,1.25,2.99,2.4,4,1,25,8.81245902360974
5510,3,5,1,0,1.79,2.5,2.08,0,5,28,8.630158251042335
14927,5,8,2,0,1.67,3.79,2.6,5,0,12,8.418560044669238
8895,4,2,1,0,3.49,4.0,3.63,5,1,23,8.613725887796516
13293,5,8,2,0,1.5,2.99,1.62,0,9,4,8.305318543902706
11354,2,7,2,0,2.99,3.69,3.01,3,7,27,8.520798572863763
14664,3,7,2,1,4.99,5.49,5.21,4,8,15,8.56609474431212
1355,1,1,1,0,2.79,3.79,2.82,3,3,23,7.980551069208634
8006,2,5,1,0,1.99,3.0,2.22,4,7,11,8.71832313782644
4173,6,5,1,0,1.67,2.5,1.84,3,4,21,8.810227301742254
733,5,1,1,0,3.79,4.99,3.83,2,10,13,8.09434572985519
10835,6,8,2,1,2.79,4.99,3.39,3,1,19,8.619326226548706
14455,5,7,2,0,1.99,2.39,2.35,4,6,7,8.633343723728972
4576,4,5,1,0,1.69,2.99,2.64,3,7,13,8.600319411392183
12519,2,8,2,0,1.89,2.48,1.97,3,5,18,8.544243916896582
15541,5,8,2,0,2.5,2.5,2.5,5,8,7,8.301312626904059
8068,1,2,1,0,2.99,4.5,4.14,4,7,18,8.366289760982628
13789,1,7,2,0,2.5,2.79,2.51,1,11,12,8.707810978029272
4216,3,6,1,0,1.99,3.0,2.1,3,4,28,8.615413412132487
4063,4,0,0,0,1.99,3.79,2.6,3,4,7,8.225377176076085
4673,2,0,0,0,2.5,3.99,3.6,3,8,3,8.028563788651475
5145,2,6,1,0,1.47,3.59,3.16,3,11,3,8.581102673068456
13251,5,7,2,0,2.88,4.49,2.9,0,8,6,8.663593454120546
9049,6,3,1,0,4.99,6.99,5.64,5,2,30,8.334232148268772
922,4,2,1,0,3.29,3.29,3.29,3,0,22,8.612025036558688
